"notes","label"
"Brand new in manufacturer's shrinkwrap.  But one moderate bump to a box corner has somewhat crumpled 1-centimeter around that one corner; the crumple has only torn open one tiny little line of the outer box layer.  Photos on request.  From smokeless petless home. SHIPPING:   USA: $15/$17/$19 to zip code starting with 0-2/3-7/8-9.   MULTIPLE ITEMS: Save big with combined shipping!  Look at my other games for sale; the additional shipping cost would only be about $3 per large game, or $1 per small/card game.    MASSACHUSETTS: Local buyers may pick up orders of $25 or more in person, in Billerica or Cambridge.   INTERNATIONAL: International shipping, for a normal-size game, is at least $40!  Only if you understand that, you could ask me for an exact shipping quote before ordering.   INSURANCE: You may add $1.35 for optional insurance.  (Otherwise, I'll just get Delivery Confirmation, but in the unlikely event that USPS lost or damaged the package, it would unfortunately be your loss.)","0"
"New in shrinkShipping estimates will be from 44646 (OH). Please let me know if you have any questions or concerns about the product or the condition listed.","0"
"Shipping at cost.","0"
"CompleteVery good shapeunplayed / unpunchedI pay the Geekcommission, you pay the Paypalcosts","0"
"I just never opened it. Interesting dynamic and worth playing but I already have another copy that I also picked up.This is brand new and sealed.Buyer to pay shipping.","0"
"shipping is usa and canada30$","0"
"Opened, punched but unplayed.  Cards are still in shrink.  Buyer pays shipping, CashApp/Venmo/Zelle accepted.","0"
"Will ship only in Europe.Only sign of visible usage is rulebook.If paying through Paypal +3% Paypal fee or has to be sended as ""Sending to a friend"" (no fee).","0"
"Shipping not included","0"
"2019 SpielWorxx DIE MACHER Board Game - English / GermanEnglish and German language edition. Brand new and sealed.The game will be packaged well to protect from damage from postage.","0"
"No split corners - just storrage tears (see pictures) - Material in very good conditions.Schachtel hat leichte Lagerspuren - aber fr ein  35 Jahres altes Spiel ist das Material in sehr gutem Zustand.Bei Rckfragen schicke ich gerne weitere Bilder","0"
"Plus shipping","0"
"2006 Valley Games. Unplayed, complete, in like new condition.","0"
"I have only played it twice since I bought it, and all the tokens and accessories are complete. The box is intact and I used clear tape to retain the plastic packaging (if you dont like, just tear them off, which is easy to do). It only ships to Europe. For shipping prices, please refer to DHL's official website. For example, the price of shipping to Germany is 6.99 euros. Of course, other shipping methods are also available and we can consider them through negotiation. Also if you are near Aachen or Hbf of Cologne I can bring it to you for free.if you need more information, or think the price is unreasonable, we may talk and negotiate .","0"
"Buyer pays shipping.  Box contents sorted and organized, never played.","0"
"Buyer pays shipping.","0"
"You pay for postage. I can give estimates once I have your address. Postage outside Australia is likely to be expensive.","0"
"New in shrink wrap.Buyer to pay shipping from 03052","0"
"Game is excellent shape, content is as new.FREE SHIPPING TO EUROPE AND NORTH AMERICA !!!Any boardgames order from this list starting from:$250 and above (EU zone)$360 and above (rest of Europe)$500 and above (USA and Canada)will ship FOR FREE, including sturdy package and tracking number !!!Any other destination country will also get very special shipping prices, almost free, ask for details !!","0"
"Played only once. In German with printed copies of rules in English. Kept in pet- and smoke-free house.","0"
"Ausgabe von Valley Games","0"
"USED, but COMPLETE and in excellent condition.This is the coveted German 2nd edition (Moskito).+++ Buyer will pay for shipping. I usually ship USPS via Pirateship, but I am willing to accommodate your preferences. +++","0"
"Shipping within Poland 4.00 Euro, shipping to most EU countries 11-19 Euro.Payment via Revolut, Blik, Paypal (+5% Paypal Fees, if non-friend option is used), Cash or Wire Transfer.","0"
"This game is used. We have inventoried the components, and it is missing 1/20 poll cards and 1/105 money cards. Otherwise, all pieces are present, and in good condition. The box is scuffed in some areas, but is not split or torn anywhere, and holds well,","0"
"Very minor box wear.Buyer will pay actual shipping charge as per Pirate Ship, the cheapest available rate unless buyer specifies otherwise. Can potentially arrange for drop-off within St. Louis County, Missouri instead.Payment will be made via PayPal or Stripe before shipping/delivery.","0"
"Buyer pays shipping fee.","0"
"Played once.","0"
"Never played.","0"
"Well maintained in a smoke free, clean environment.  I take great care to package the games so theyll arrive at your home without damage and in fantastic condition.  I ship both USPS and UPS via Pirateship.com.  Id be happy to work with you on a bulk buy with cheaper shipping, so please take a look at my other listings.Feel free to contact me with any questions or concerns.  I accept Paypal and Zelle.","0"
"Played a few times. First hand. No smoking, no pets.Please ask via pm for shipping rates outside Germany.","0"
"Contents are complete.","0"
"Punched, complete but box and cards are worn and somewhat warped.  A playable copy but not a collectible item.  Shipping will be paid by buyer (I use pirateship to keep rates low).  Discount shipping is available.","0"
"Played a few times, non-smoking home","0"
"some underlines in rulebook. only played once.","0"
"The box has some minor damage and shelf wear but the components are in very good condition.English rules are included.Payment is possible with Revolut, PayPal, or a bank transfer.Please ask for shipping :)","0"
"the box has a dozen small (<1cm) slight blotches (from foxing - had to wikipedia the word too, no worries :P ) on the box as well as some white on a couple of the edges of the box. The game components are in pristine condition","0"
"some minor wear and tear on the box simply due to the age of the game but components in superb condition","0"
"A bit of box tear but all components in excellent shape","0"
"Game is language independent (no text on components), printed English rulebook is also included. Components are just like in Fantasy flight edition.Shipping cost will be around 16-18. Please ask to confirm this info.Accepting paypal payments (if you don't prefer payment as family and friends please add 3% to final cost for paypal fees).","0"
"Will ship worldwide. Paypal or bank transfer. Buyer pays shipping and paypal fees.","0"
"Brandnew in shrink wrapSHIPPING: incl. Insurence + TrackingGermany 6.00EU 13.00CH + GB 18.00World: 23.00PAYMENT:Euro Zone: PayPal Friend Else +4% PayPal FeeWorldwide +6 PayPal Fee","0"
"SHIPPING: incl. Insurence + TrackingGermany 6.00EU 13.00CH + GB 18.00World: 23.00PAYMENT:Euro Zone: PayPal Friend Else +4% PayPal FeeWorldwide +6 PayPal Fee","0"
"Sale prices exclude shipping and fees; I use www.xe.com for daily exchange rates.  Fees are minimal and cover the BGGM and PayPal fees (as applicable); the latter are circumvented when paying by money order or cheque.Shipping is expected (August 2024) to start at about 35 CAD.Having been burnt too often in the past by buyers who pulled out or simply went silent, I now demand payment of the raw sale before proceeding to the packing and shipping stage.  I ship as soon as the second payment is received (PayPal, money orders); cheques must wait two weeks.International buyers: Please be aware that I will require a phone number in order to complete the Customs form.","0"
"NIS.Paypal F&F.[imageid=8461684 medium][imageid=8461683 medium]","0"
"100% complete. GERMAN edition, but no necessary in-game text. Box hast some slight wearSHIPPING: incl. Insurence + TrackingGermany 6.00EU 13.00CH + GB 18.00World: 23.00PAYMENT:Euro Zone: PayPal Friend Else +4% PayPal FeeWorldwide +6 PayPal Fee","0"
"100% complete. GERMAN edition, but no necessary in-game text. Box hast some slight wearSHIPPING: incl. Insurence + TrackingGermany 6.00EU 13.00CH + GB 18.00World: 23.00PAYMENT:Euro Zone: PayPal Friend Else +4% PayPal FeeWorldwide +6 PayPal Fee","0"
"100% complete. GERMAN edition, but no necessary in-game text. Box hast some slight wearSHIPPING: incl. Insurence + TrackingGermany 6.00EU 13.00CH + GB 18.00World: 23.00PAYMENT:Euro Zone: PayPal Friend Else +4% PayPal FeeWorldwide +6 PayPal Fee","0"
"Unplayed Game. Items unpunched. Meeples in shrink Wrap. 100% complete. GERMAN edition, but no necessary in-game text. Box has some minimal wearSHIPPING: incl. Insurence + TrackingGermany 6.00EU 13.00CH + GB 18.00World: 23.00PAYMENT:Euro Zone: PayPal Friend Else +4% PayPal FeeWorldwide +6 PayPal Fee","0"
"Chinese edition, no necessary in game text. English rules printouts included. Box has edge and corner wear, contents are in excellent condition.Game pictured is the actual copy available.","0"
"CompleteGame components in very good shapeBox has some wearDutch 999 games editionI pay the Geek-commission, you pay the Paypal transferscosts.","0"
"-Rio Grande english edition-opened and played once-local pick up/drop off an option (Greater Toronto Area)-buyer pays shipping","0"
"German edition by franckh","0"
"first Edition, German version,  1991 by Franckh KosmosShipping costs see informations below.Payment via PayPal or bank transfer.If you pay via PayPal, please use the button Send to friends abroad, then there are no fees. ... Thanks!!Please verify your shipping address before ordering or paying with PayPal. If your address contains non-Latin characters please include it in Latin script, too.We offer in our ""Modern Second-Hand-Games-Shop"" on our private homepage www.alte-spiele.de/antiquar.html more than 3.500 other games: older one, newer one, rare one and little known one. The offer consists of titles since the 1970s and mainly in German-speaking. Just look once over with us.","0"
"Complete, box minor shelf wear.Accept Paypal or IBAN with BICAny questions just ask.","0"
"very good condition, only played once.","0"
"Complete, components in excellent condition, box has minor shelf wear, felt pens replaced.Buyer pays Paypal fee if applicable. Payment via IBAN possible in Europe/SEPA zone","0"
"Weight is ~1400grInside a beauty, box shows signs from storing. One tag removal damage on one side.","0"
"incluse regole in italiano","0"
"Game inside like newNo structural damages at the boxes but some use at the sides, front looks like newCollectible !!","0"
"Played a few times; complete and in very good condition.From a smoke-free, pet-free home.Shipping: $20.00.","0"
"All sorted and bagged, in great shape","0"
"1962 Version of Acquire!Still in shrink!It appears to be the wooden block version.(standard size 3M box, copyright on front and back, colour image on back)There is minor box shelf wear, where the shrinkwrap has pulled open.  Under the shrink the box looks mint.Please see photos and contact me for any further information.A collectors dream copy!","0"
"3M version from 1968, still in shrink (although there's a small gash in the shrink on the back as if someone thought about opening it at some point -- gash closeup in fourth image).","0"
"Unfortunately, this game needs a new home. I am the only owner and I take care of my games as well as I can.  The cover/sleeve shows some ware due to being packed and moved multiple times.   That is why I am selling it as good vs. very good condition.I will verify shipping cost using your choice of shipperI am willing to use usps, fedex, ups","0"
"Vintage ACQUIRE by Avalon Hill. The Game of Corporate Acquisiton. Complete and in very good condition.All game components are in very good condition. Rules are a bit creased. Box has one split corner and some rubbing. Aide memoire of starting money on inside of lid.UK shipping will be 6. Other destinations please ask.","0"
"1968 3M Dutch/German bookshelf version with the ivory plastic board with Black pieces. Has been played once or twice. Box has a blemish in the upper right hand corner of the cover (tape mark?). Otherwise average box shelf wear for a 1968 game.","0"
"Acquire (Avalon Hill Bookshelf edition 1976)Some age wear in box, components very good conditions","0"
"Avalon Hill (Hasbro) 1999 collectible edition. Rare.The game has been played once. It is in mint condition, only minimal scratches in the box.See history of the game here: http://www.megacquisitions.com/index.php/99-08","0"
"New in shrink copy of the 1999 Avalon Hill (Hasbro) English language version.Will ship worldwide. Contact me for a shipping quote.New Zealand buyers can pay by direct credit bank transfer.  I will also combine shipping on multiple game purchases.Thanks for looking at my games for sale.","0"
"Has been in a smoker's home.  Some paper money stained. Complete.  Box worn but edges not broken. Cover lightly worn.$10-$15 shipping.","0"
"Unopenned, still in wrap.","0"
"Complete, between very good and like new condition i'd say. Looks fairly unplayed. Money is in great condition and so are the cards. Box is in good condition but does have some slight bubble lines on the top.","0"
"Missing one yellow stock card!Wooden Tiles! Like New Contents. Good box (Very Good considering its age). The box shows a little wear and has a slight tear on one corner. But the contents look unused, or maybe very slightly used. They are pristine wooden blocks. All the bills and stocks look perfect. I believe this is the '62/'63 wooden tile edition (greenish board).$13 shipping for USPS Priority. Cash pickup in Denver (I will do a local-buyer cash discount). Make me an offer!!!![imageid=2713053]  [imageid=2713052]","0"
"Box is in worn but good condition, no broken corners. Contents in VG++ shape.  All tiles,  stock certificates, cash and board.  Plastic holder for cash/stock etc has been cracked.  $12.95 Shipping in the USA .  $16.95 priority.","0"
"Box has some scuffs.  1976 version.","0"
"rare Schmidt Spiel edition of acquire for sale.  US edition with English rules.  Game is complete and in good condition.  only flaw: lower split corner","0"
"NOTE: with Special Tiles.Very slight wear on two corners, very slight nothing serious. Otherwise box and contents are like new. This Avalon Hill edition was made cheaply. No box inlay, very basic tiles and cards. Solid basic edition, but no fancy plastic bits.LIGHTLY USED newThis item is LIGHTLY USED, bought new by me, opened, punched and played once or twice. It is in excellent condition, all the components are bagged and the game has been carefully stored. Listed as Very Good per BGG's guide, but its condition is closer to LIKE NEW. It has English rules in the game or printed out by me. 1  2   BGGVery GoodLIKE NEW EMAIL METo buy this game or to enquire, scroll down to the Signature section below for my email.You do NOT need to register with BGG. Email me directly, tell me what games you want to buy and your delivery address so I can work out postage. I can email photos of the games if you want. BGG  100% POSITIVE FEEDBACKBGG used to run a feedback system. Half my buyers gave me feedback, all 100% positive. I ship worldwide and quickly after your payment.100BGG    100%  ","0"
"NIS - I'll ship free to CONUS and pay first $10 of shipping elsewhere","0"
"Gently played and comes with an extra set of cards and game board. Shipping is free. Continental US buyers only please. Any questions please ask. Thanks!","0"
"Very rare edition with ""Acquire"" on the cover instead of Hotel Knig.  My dad's been carrying this one between Europe and Canada for decades.  The box shows it, but the components are like new, cards still in shrink.  This edition was never played.Bank transfers preferred, please.","0"
"This is the Big Box Edition (Yellow Box)!Shipping can be from Canada or the US (I live close to the border), whichever you prefer.If you buy more than 1 game, I will gladly combine the shipping (usually, after the first game, all subsequent games add only a little to the shipping so its worth checking if you want anything else).","0"
"Hi, there.I have many board games never played. (Just collected and hopefully planed to play)This game is one-time-played, with well-arranged components.Some of my games include Korean materials like Korean rules or text on cards (removable).Games are in South Korea and shipping cost will be added.","0"
"Lloyd's Rules of ACQUIRE is a 12 page booklet that has the original rules of the game of ACQUIRE and then Lloyd's changes highlighted in red. It also contains a Stock Price Extension Chart that helps player calculate payouts at times of mergers and at the end of the game. Lloyd's Rules are free shipping worldwide.There are a lot of grey areas in the many versions of Acquire rules. Many items are not addressed and assumptions have to be made. Because of this, I felt that first and foremost the grey areas needed to be defined. I also felt that there needed to be two major changes to the rules to help even out the distribution of money during game play. These two changes also helped to align the game more to corporate reality.The first rule change pertains to the purchase of stock. I call it the lame duck rule. I allow trading of stock when finances are gone. This change was designed to allow players with no money to be able to try to keep control in the companies that matter more. It also helps to relieve the lame duck status that is achieved when a player is out of money.The second rule change pertains to the disposition of stock at the time of a merger. I call it the dumb luck rule. I eliminated the 2-for-1 trades of stock. This rule is flawed since it doesnt address the issue of worth or the reality of a hostile takeover. An Imperial (Phoenix) with 41 tiles (worth $1,200 per share) could take out a Luxor (Sackson) with two tiles (worth $200 per share) and the player with Luxor (Sackson) stock could trade two for one. This means that a player can make $800 per trade along with possibly gaining majority in the surviving company. If the player who is holding majority in the surviving company does not have interest in the folding company, they can lose their majority out of the regular turn of play. My change in rule allows only the merge maker to acquire stock, as is the normal course of their turn. The vanquished stockholders are paid for their company and they can invest their earnings anywhere they want when it is their turn.Thousands of players around the world have enhanced their ACQUIRE experience with Lloyd's Rules of ACQUIRE. They offer a nice variant to the traditional 3M Company rules.","0"
"not played, box has some slight damage","0"
"incluse regole in italiano","0"
"Box has some wear. All parts in very good condition.","0"
"SHIPPPING AND SIZE INFO:VINTAGE ANTIQUE (54 years) ACQUIRE BOOKSHELF BOARD GAME (1968)12"" x 8.75"" x 2.5""2.1lbs (33.6oz)SHIPPING LOCATION: Round Lake Illinois 60073All my ads (will eventually) include size and weight of the game. Please add a little weight and around two inches per side to estimate shipping costs. For example: 11.5""Wide x 12""Long x 3.5""High at 2.8lbs should be estimated as 13x14x5 3lbs, allowing for padding, shipping box weight, and shipping container size. Please do not ask me to give you pricing to your location. Most shipping is roughly $20 dollars. If you are interested, you can look up your zip code and compare to my zip code, which is 60073.Shipping depends upon the size and weight of the game and your location's distance from northern Illinois, 60073. Please check for pricing at ups.com usps.com or fedex.com. I generally opt for the best price, which is almost always USPS PRIORITY. Prices usually range from $17 to $24, depending on weight and size, to the contiguous United States. Though I occasionally have some games that are cheaper because they are small (Boggle) or bigger (Imperium Galactica) or super heavy (Europa Universalis) and I charge accordingly. Rates differ for Protectorates and Islands as well as international shipping. Those carriers and their rates are higher, and take longer to get to you. If you're in a different country, please be patient...unless you wish to pay for quicker shipping, which we will happily provide. You may add optional insurance or signature but USPS Priority is very reliable and will give both of us updates on tracking info.I accept PayPal or Personal Check. There is no fee for personal check but PayPal charges 4% on all transactions including shipping fees. Board Game Geek charges 3% and we recover those fees upon sale. Thank you for reading and considering our offerings. All games are either brand new, shrink wrapped, unwrapped, or could be considered brand new save for being opened. If a game is played even once, it is listed in the sale. No food, drink, pet dander, nor tobacco is ever anywhere near any of the games. Opened games are usually bagged and may even be labeled as a courtesy. These are not store copies or well played copies. They are almost all brand new and never played or simply opened for display and photography.","0"
"Payment is possible with Revolut, PayPal, or a bank transfer.Please ask for shipping :)","0"
"Acquire Avalon Hill 1976 I accept PayPal. Please check with me for postage costs I will post the game to you as soon as the funds are confirmed Europe post , if you are interested I will get a price from post office for the cheapest way to suit you. Shipping price to be sorted accordingly.Please contact me of there is anything you would like to know about the game or if you would like some more  photos of the contentsBuyer is to pay all Paypal currency conversion charges.I will ONLY ship to the address on Paypal payment notification.","0"
"Components in excellent condition, box has some shelf wear.  English rules included.","0"
"New in box.Buyer pays shipping.","0"
"box in rough shape tiles u clipped nothing used","0"
"The game is new, unpunched, and complete - just missing the shrinkwrap. Feel free to make me an offer. Items will ship via USPS from Illinois ZIP 60189. Feel free to shoot me a message for a shipping quote or with any other questions.","0"
"GameItems are like new and never played.Only the box has littlebit split corners  but box looks futher very good.","0"
"Complete and in excellent condition but has some musty odor from storage. May have been in a smoker's home or store. Paypal or Venmo accepted.","0"
"New and NEVER used !!!100% MINT undamaged, unopened and still in original shrink !Worlwide shipping!Example: US/Canada/Asia  33 EUR (tracking and insurance included). Within EU is cheaper!","0"
"Little Used.","0"
"Will ship insured to Europe.","0"
"german version (but game completely language dependent)","0"
"Very good condition. Well cared for, rarely played. Pirateship discounted shipping","0"
"Ich verkaufe die deutsche Edition des Brettspielklassikers ACQUIRE von Schmidt Spiele aus dem Jahr 1993. Das Spiel ist in einem guten Zustand und hat ein paar altersgerechte Gebrauchsspuren.Der Versand ist nicht inbegriffen und wird je nach Gewicht, Gre und Zielort des Pakets berechnet.Bezahlung bitte per PayPal!Wenn Sie in der Nhe von Berlin wohnen, wre es auch mglich, den Artikel persnlich abzuholen und in bar zu bezahlen.Wenn Sie weitere Fragen haben, schreiben Sie mir einfach!","0"
"Brand new in Shrink","0"
"Items in excellent condition, box has seen better days - compete game - Shipping from California","0"
"Game weight: 1.340 kg","0"
"German version,  1986 by Schmidt SpieleShipping costs see informations below.Payment via PayPal or bank transfer.If you pay via PayPal, please use the button Send to friends abroad, then there are no fees. ... Thanks!!Please verify your shipping address before ordering or paying with PayPal. If your address contains non-Latin characters please include it in Latin script, too.We offer in our ""Modern Second-Hand-Games-Shop"" on our private homepage www.alte-spiele.de/antiquar.html more than 4.000 other games: older one, newer one, rare one and little known one. The offer consists of titles since the 1970s and mainly in German-speaking. Just look once over with us.","0"
"Unplayed, all components in wrap; Minor scratches and peeloffs on the box","0"
"SK21-352K","0"
"New in shrink","0"
"Buyer pays shipping via pirate ship from 2756250+ year old game so has some wear and tear but overall the components are in very good condition. A few of the stock cards have some small marks where it appears they were once stored with rubber bands.","0"
"Buyer pays shipping","0"
"Played once.","0"
"Perfect condition","0"
"Box is worn but contents in great shape","0"
"Game is excellent shape, box shows minimal wears, content is as new.FREE SHIPPING TO EUROPE AND NORTH AMERICA !!!Any boardgames order from this list starting from:$250 and above (EU zone)$360 and above (rest of Europe)$500 and above (USA and Canada)will ship FOR FREE, including sturdy package and tracking number !!!Any other destination country will also get very special shipping prices, almost free, ask for details !!","0"
"Please take a look at the version of the game as most of my games are in German!Worldwide shipping possible:7,00 Euro shipping costs within Germany, 16,50 Euro shipping costs within the  EU (DHL Zone 1),Rest of the world please ask for shipping details.Combined shipping is possible.Payment through PayPal or European Bank Transfer - any fees are on the buyer.","0"
"Excellent condition. 100% complete.","0"
"I bought this new in 2003 or so and according to my BGG records it was only played 8 times. I just did an inventory check and can confirm everything is present. Other than a bit of (understandable) wear and tear on the box it is in great condition.Buyer has to pay for shipping. I'm guessing that will be $10-$15 or so. Continental US only.If you are interested in this please check my trade list to see if there is anything else you would like to purchase from me.","0"
"box show some shelf wear, but the box is still very much intactmoeny and stocks very clean, look hardly usedtiles and board are near mint","0"
"PACKAGING- We are trying to reuse packaging material as often as possible. Please be aware that boxes in most cases will be reused or have other branding etc. At this moment we only offering goods for supply within the EU and EEA. We ship to LITHUANIA, LATVIA , ESTONIA , FINLAND,  POLAND , SWEDEN, GERMANY, BELGIUM, HUNGARY and other EU countries.Postage In Lithuania takes approximate 1-2 working daysPostage and packing fee starts from 3.49  applies up to 10kg (33x39x42) using Itella Smartpost, Omniva, DPD or LP ExpressPostage to Latvia .Flat postage and packing fee starts from 5.99  up to 10kg (33x39x42) and delivery takes approximate 2-4 working daysPostage to Estonia.Flat postage and packing starts from 5.99  up to 10kg (33x39x42) and delivery takes approximate 3-5 working daysPostage to Finland.Flat postage and packing fee of 6.99  to Finland applies up to 10kg (33x39x42) and delivery takes approximate 3-5 working daysParcels sent using Smartpost trackable services to postal boxes or HRXPostage to Poland.Flat postage and packing fee from 8.99  to Poland applies up to 5kg (33x39x42) and delivery takes approximate 3-5 working daysParcels sent using trackable services.Postage to Sweden.Flat postage and packing fee from 14.99  to Sweden applies up to 5kg (33x39x42) and delivery takes approximate 5-7 working daysParcels sent using HRX trackable services to postal boxes.Postage to Germany, Denmark, Belgium, Netherlands takes approximate 5-7 workingFlat postage and packing fee from 8.99  to applies up to 20kg (33x39x42)Parcels sent using Itella Smartpost/GLS trackable services.Postage to Bulgaria, Greece, Italy, Portugal, Spain takes approximate 5-7 workingFlat postage and packing fee from 9.99  to applies up to 20kg (33x39x42)Parcels sent using Itella Smartpost/GLS trackable services.Postage to other EU countriesCroatia, Slovenia Slovakia, Austria, Czeck Republic, Luxemburg, Hungary , France and delivery takes approximate 5-7 workingFlat postage and packing fee from 16.99  to applies up to 5kg (33x39x42)Parcels sent using Itella Smartpost/GLS trackable services.Postage to UKDelivery takes approximate 5-7 workingFlat postage and packing fee from 9.99  to applies up to 5kg (33x39x42)Parcels sent using trackable services.We aim to dispatch all orders within 1 working day. If you have specific queries regarding delivery, please email us at info@manohobis.com PACKAGING- We are trying to reuse packaging material as often as possible. Please be aware that boxes in most cases will be reused or have other branding etc.","0"
"Played a handful of times, in box has wear and tear, game in excellent condition","0"
"I can do pick up/meet up/ drop off in CA if our schedule allows.","0"
"+ VersandKombiversand mglichSepaberweisung+ shippingeg: Shipping in Germany 7,- in EU 16,50 (small packages 5,50 in Germany, 13 in EU)check out my other games to save on shippingSepa transfer","0"
"1966 3M Book Shelf,  Rare Edition almost 50 years old. Played many many times, but still going strong. I use Pirateship to keep costs low. Prefer Zelle, but will take PayPal. Or check or money order.","0"
"Acquire - Wizards of the CoastVery Good! Removed from shrink and played. Components and box in very good condition. Pictures available upon request.Buyer to pay exact shipping costs. (I use Pirate Ship for the lowest costs)","0"
"Buyer pays shipping","0"
"Brand new and ships directly from warehouse to you! Cheaper than other retailers.Payment in USD via Paypal to cover your purchase!Price includes shipping in the U.S.","0"
"deutsche Ausgabe von SchmidtSchachtel ist akzeptabel, Zustand des Spiels ist sehr gut.","0"
"HE24-95","0"
"I sell roughly 80 games. Look in my other announcements and save shipping.The item is located in Brunswick Germany if you want to pick it up.The games are all in very good condition. Some were never played or played a maximum of 10 times. I've always handled the games very well. Game material is usually packed in zipper bags. I mostly used card sleeves but removed them for sale.For many games, the color on 1 side of the box has faded due to sunlight.Shipping is possible. Check out my other listings to bundle purchases and save on shipping costs.Since it is a private sale, I would like to say that I will not give a guarantee or take back the items.","0"
"Plus italian original rules","0"
"New in shrink","0"
"Brand new in shrink.","0"
"FREE SHIPPING WITHIN CANADA DURING OCTOBER 2024!Pick-up available near Wellesley Station and other nearby subway stations.Can ship the game nationally and internationally at buyer's expense.","0"
"All parts are accounted for and in like new condition. Send your email for photos and postal/zip code for shipping cost. Will ship to USA (PayPal) and Canada (etransfer) at buyers cost.","0"
"Title: AcquirePublisher: Renegade Game StudiosLanguage(s): English","0"
"Opened but unplayed","0"
"1999 AH version. Box shows some corner wear.","0"
"Box looks like it's almost 60 years old (which it is!) The game components are in good shape.","0"
"Game is brand new except for the shrink wrap was taken off.Ships from California, check my other listings if interested too.","0"
"Hasbro edition with square board.","0"
"the game was never played","0"
"Title: Acquire 60th Anniversary EditionPublisher: Renegade Game StudiosLanguage(s): English","0"
"This NOT for the game, just for the box and the board without the tiles, cards, and money.","0"
"New in shrink wrap. Got as gift.Pick up possible in NY metro area. I live in White Plains.","0"
"Good copy available. Box is in good shape.Non-smoking environment and kept in a humidity-controlled location.$12 shipping to US - write me for a quote to the rest of the world.If you want this game plus anything else that I am selling on BGG, I'll of course be happy to add other items on in order to save you on shipping!https://boardgamegeek.com/market/user/kypros?pageid=1Cheers,Jason","0"
"new in shrink","0"
"Brand new copy of the game, in shrink wrap.Shipping to EU would be 25-35 euros, depending on location, and the package should arrive in 7-10 days. Elsewhere  please ask!Check out my other products for sale as well! If you buy multiple items, I will combine shipping costs. Its much cheaper this way.","0"
"Played only once.Smoke- and petfree house.","0"
"Will ship as cheap as possible, to be discussed.Accept Paypal or bank transfer.","0"
"Message me for shipping. I ship with the lowest shipping price possible","0"
"Components are very clean.  All tiles and stock shares are present.  Exterior box has compression and some stains.  So, box is not good, but components are very clean.","0"
"Sk21-1650","0"
"LA24-1832xx","0"
"SK21-1712","0"
"Game weight: 3.040 kg","0"
"Brand new, unopened-still wrapped.","0"
"Tiles unpunched.  Tape on box","0"
